a,b,c
35.590308952778955,37.57145041538916,51.75213983663191
57.35851871451161,85.88023373795913,103.27349232019547
22.267116573298317,15.568410385234396,27.1698340519763
19.139422532324957,60.030562366507624,63.00782421977472
38.47486845108685,19.190795308256266,42.99537331960067
38.38370924686994,97.21225538302267,104.51570088844196
13.555280696830494,38.788425848780484,41.08877723413301
80.26344702962179,55.9140655904207,97.81923972269857
34.561964162794624,83.01387877557903,89.92126242528421
55.99666149341064,76.90827506456385,95.13416248548275
33.647159420115834,78.34605276156704,85.26567492467842
60.526392331367035,17.807049890964915,63.09148274109493
92.57226443581331,57.869389161936446,109.17183860661957
37.51269680724268,64.4158162937856,74.54260399628423
57.98766944921574,48.85121943406681,75.82223584376061
41.63032920159991,93.59794777016775,102.43856762089479
51.31676786807897,85.89784755327194,100.05923684853612
11.456850521281822,95.93470058368057,96.61638680859183
51.41861679469464,75.40002074373884,91.2635594376852
27.709080225772357,11.637330684822855,30.053628606645958
62.74857896988455,19.314500292832207,65.65389618523528
58.449736586187406,94.62224900316744,111.21934055465405
61.68994684709431,35.91137140479189,71.3812029750846
13.06892713732433,20.869033141201722,24.623431945390312
37.722177647991884,2.3798033652497614,37.79717119790729
72.67543797569553,7.424822130070212,73.05372864284443
10.548455803602785,11.937916551906516,15.930592312931896
47.58416392396924,53.612460305774356,71.68367008169578
21.81442545197268,93.53144235926564,96.04165693908193
60.39634156784353,45.94625594259734,75.8866029673373
94.61459013672047,42.71279477232674,103.80897602809934
16.72935580301244,82.04874222466064,83.73689417594014
49.816927498696394,48.48390711143029,69.51557749310706
56.59573224667121,98.70487213074445,113.77929816483977
81.03867467739997,57.24350251039646,99.2173642722242
1.6970212536591474,29.513814794687175,29.562563232413837
85.66568441104339,10.274063000354861,86.27957960113008
32.9593034305783,88.86593765762754,94.781171961515
73.02834706291668,50.07927664174091,88.5498358197339
82.85153601085456,69.40932887733557,108.08344903157031
12.847998675502524,95.21583643755466,96.07875196144502
86.46238834765684,20.90334995976532,88.9533284274481
66.03092851774684,86.03996282288531,108.45717460582901
8.988300535637954,76.54162717648121,77.06756929696431
30.79096607858913,81.39448435539789,87.02382245991001
49.29110993598293,40.94793596529827,64.08078478404678
29.586471100571906,64.74328815077993,71.18323280632805
54.86317730147738,27.04692192654162,61.16783639555825
17.068811095493388,25.63170326545537,30.794943164454676
87.96757407497805,31.46894199643462,93.42691474629629
57.17186261075735,41.67335036672006,70.74807421527967
49.91750592460711,39.515000089025534,63.664689033787596
88.68758269799154,81.14556439664157,120.2085269274297
44.781251350379954,32.46847896003161,55.313313031167475
50.30561448528137,66.74463328561546,83.5793091690344
95.80348129475662,68.8627599228651,117.98468855062904
44.111716672406146,14.009662210433229,46.2829794096823
20.186491313323238,78.95362109763123,81.49336608565874
97.08936065255848,23.19126256728968,99.82073237252642
81.25477486470302,34.50683493969644,88.27831044978733
50.446291159313105,38.42735601795305,63.41521885368452
83.8400599080706,76.76427133936352,113.67457499217798
62.9791782909446,31.01727776841287,70.20290890244839
13.286030051909737,4.8993630112179005,14.160591529167798
95.25300614218979,57.11878079281408,111.06615280264997
60.19604050513992,50.43742428453407,78.53341365912061
56.740437760439995,40.9292919567348,69.96201982022818
26.631339596814062,82.78244179392112,86.9606860488392
61.98415093334583,57.3664006153092,84.45672789354289
89.07640340763122,48.22714046871094,101.29394217734756
77.56845937412277,14.819141468814179,78.97134191304882
69.89915283812184,95.86850607214588,118.6451095662699
20.620371571092523,32.830968544379985,38.7694753548715
74.68073918759694,25.39400300578643,78.88008743823607
58.177866918479445,99.52709606412714,115.28359401988773
49.355187207437254,38.24195084699566,62.437018737806575
65.95877189518677,69.95540359165582,96.1473768835777
82.01180162797189,28.372976070419806,86.78111186979818
30.571976898899482,10.392281553218858,32.29001838630967
6.5671897305627525,30.329489286345453,31.032336382034668
99.31888517919744,10.768252089515478,99.90093195912618
30.643289809038357,26.361161899509398,40.421801877363905
4.944796784343282,80.26367162855088,80.41584420084325
70.51307030708024,94.98485603822071,118.2971511099602
65.98782544443102,66.44376073578853,93.64382760011154
91.43744713289098,22.866155746909367,94.25321117512203
86.34761638442659,76.14139803928244,115.12351345684573
25.960919595456403,16.489778860934273,30.755197172579905
73.15279253231682,19.104747600999605,75.60636505066282
68.88332585373851,40.98196083330791,80.1525651143811
18.705831651242956,65.45608218842452,68.07647782620975
86.14440801177982,99.70975806964177,131.76833794962462
23.268124235402112,72.41714294187182,76.06344849727498
61.888148111813855,70.29331110400256,93.655178514986
10.086402563693417,42.71779136048918,43.89242776829695
25.68301162049281,70.50902897581689,75.04092385499365
72.8566475399,25.173955360867662,77.08319608879859
19.924440473129916,97.91792302007899,99.92448637212709
90.81976304475985,59.25806512209774,108.44237013972493
15.272544640068853,25.624464439712114,29.83058493568248
27.3017098307545,25.41725635750084,37.30174634552159
8.083741902228063,10.569797626659257,13.306671447449563
58.50824105467601,3.4443626005862766,58.60953766270805
76.50347014095273,2.2534935718361244,76.53665250640344
9.587264775446577,31.166892442699517,32.60814055430513
55.01975162166416,89.19075053789041,104.79581599482783
60.49044003280782,13.820362316456384,62.049139800007275
41.432868010395055,69.89439894122049,81.25213569452376
13.917000130574808,54.78912368061282,56.529027643538214
52.911614114991536,38.366677931321234,65.3577913009574
89.22796725239961,74.016215386971,115.93114456523656
96.83881801005354,43.782791907215284,106.27647689293613
88.45660146026619,51.082096322254586,102.14671265672949
86.4347987271445,63.07008360245102,106.9991115693123
1.4426254632621547,61.03024255056665,61.04729047229081
57.541730649687054,47.46063715317236,74.58929444059797
63.58396707838347,47.83229381898455,79.56663371923322
92.0667599835056,73.70424002943808,117.93474166748936
64.73684830891638,53.14354176060928,83.75616729431495
8.041347004744502,52.958344037266926,53.565375615412606
56.860214099666656,78.76121722286702,97.14120282294004
84.277833637415,20.280993985416735,86.68374680210997
8.41461355614764,44.40269522071775,45.19297582770197
22.31831605087255,8.617327107621065,23.924162635845295
38.67472687413292,26.133685944957733,46.67658984821471
84.2787722306937,1.0086477493040071,84.28480775914082
69.23722465720675,53.28122756266314,87.36522471107605
79.21588905842995,6.061052764574738,79.44742563439323
45.66135384166623,24.293929215945866,51.7218931537046
93.9858905105107,87.68124989801258,128.5354005662698
71.91489661793304,59.89107402329911,93.58788972528599
22.851566599958847,88.29557097554421,91.20472548048001
82.09745738148001,86.50858480321553,119.26327076329518
79.42067723205481,30.51519188356868,85.08126061412845
37.74051716751674,69.34143674489418,78.9467002851784
49.258810664020345,6.219889966844592,49.64994923696759
87.28665940596859,79.1997290577901,117.86245370380223
43.684962040517924,31.678333167725427,53.961956050229546
7.498927785643152,80.80910737572117,81.15630445501523
97.23829414222567,48.941874679836786,108.86042873729116
76.1153714347302,84.1553602907286,113.47102905283482
19.52691640225645,33.4769426552902,38.75572414142587
79.2545078703219,47.703363626703876,92.50344814691208
57.92514816824736,12.593090111531684,59.278231323737785
52.82961921143865,97.99088337080595,111.3246688286855
44.13233682859803,21.542703167905742,49.10958372592183
71.49439185512762,17.190709475163498,73.53209203466207
98.71542381016357,7.396670093308831,98.99214931745577
42.45835081645702,87.99362181178549,97.70153035448763
